聚类,GDP(亿元),人均GDP(元),城镇化率(%),第三产业占比(%),固定资产投资(亿元),社会消费品零售总额(亿元)
0,3687.8042567214216,50407.23720610173,56.38554243021638,53.581363656072234,4078.602658518772,2147.4106551514615
1,11054.923230683487,105391.22756494173,76.91035510648584,59.544875851289625,7871.135882158471,5056.748627311357
2,4609.954625595198,44600.13732751475,62.12892555494942,43.396451663599656,3520.3477693189184,2393.551849886898
3,2987.5154096832443,40558.68083964093,50.36404653348067,39.62285018404023,3052.6321163908956,1363.1493431953488
